0 0 0,0 1,0 2,0 3,0 4,0 5,0 6,0 7,0
1 0 1,0 2,0 3,0 4,0 5,0 6,0 7,0 7,-1
2 0 2,0 3,0 4,0 5,0 6,0 7,0 7,-1 7,-2
3 0 3,0 4,0 5,0 6,0 7,0 7,-1 7,-2 7,-3
4 0 4,0 5,0 6,0 7,0 7,-1 7,-2 7,-3 7,-4
5 0 4,0 5,0 6,0 7,0 7,-1 7,-2 7,-3 7,-4
6 0 4,1 4,0 5,0 6,0 7,0 7,-1 7,-2 7,-3
7 0 4,0 5,0 6,0 7,0 7,-1 7,-2 7,-3 8,-3
8 0 4,0 5,0 6,0 7,0 7,-1 7,-2 7,-3 8,-3
9 0 3,0 4,0 5,0 6,0 7,0 7,-1 7,-2 7,-3
10 0 4,0 5,0 6,0 7,0 7,-1 7,-2 7,-3 6,-3
11 0 5,0 6,0 7,0 7,-1 7,-2 7,-3 6,-3 5,-3
12 0 6,0 7,0 7,-1 7,-2 7,-3 6,-3 5,-3 4,-3
13 0 6,0 7,0 7,-1 7,-2 7,-3 6,-3 5,-3 4,-3
14 0 7,0 7,-1 7,-2 7,-3 6,-3 5,-3 4,-3 4,-2
15 0 7,0 7,-1 7,-2 7,-3 6,-3 5,-3 4,-3 4,-2
16 0 7,-1 7,-2 7,-3 6,-3 5,-3 4,-3 4,-2 4,-1
17 0 7,0 7,-1 7,-2 7,-3 6,-3 5,-3 4,-3 4,-2
18 0 7,-1 7,-2 7,-3 6,-3 5,-3 4,-3 4,-2 4,-1
19 0 7,-1 7,-2 7,-3 6,-3 5,-3 4,-3 4,-2 4,-1
20 0 7,-2 7,-3 6,-3 5,-3 4,-3 4,-2 4,-1 5,-1
21 0 6,-2 7,-2 7,-3 6,-3 5,-3 4,-3 4,-2 4,-1
22 0 7,-2 7,-3 6,-3 5,-3 4,-3 4,-2 4,-1 5,-1
23 0 8,-2 7,-2 7,-3 6,-3 5,-3 4,-3 4,-2 4,-1
24 0 7,-2 7,-3 6,-3 5,-3 4,-3 4,-2 4,-1 4,0
25 0 7,-1 7,-2 7,-3 6,-3 5,-3 4,-3 4,-2 4,-1
26 0 7,-2 7,-3 6,-3 5,-3 4,-3 4,-2 4,-1 4,0
27 0 8,-2 7,-2 7,-3 6,-3 5,-3 4,-3 4,-2 4,-1
28 0 9,-2 8,-2 7,-2 7,-3 6,-3 5,-3 4,-3 4,-2
29 0 9,-2 8,-2 7,-2 7,-3 6,-3 5,-3 4,-3 4,-2
30 0 9,-3 9,-2 8,-2 7,-2 7,-3 6,-3 5,-3 4,-3
31 0 8,-3 9,-3 9,-2 8,-2 7,-2 7,-3 6,-3 5,-3
32 0 8,-3 9,-3 9,-2 8,-2 7,-2 7,-3 6,-3 5,-3
33 0 8,-3 9,-3 9,-2 8,-2 7,-2 7,-3 6,-3 5,-3
34 0 9,-3 9,-2 8,-2 7,-2 7,-3 6,-3 5,-3 4,-3
35 0 9,-2 8,-2 7,-2 7,-3 6,-3 5,-3 4,-3 3,-3
36 0 8,-2 7,-2 7,-3 6,-3 5,-3 4,-3 3,-3 2,-3
37 0 7,-2 7,-3 6,-3 5,-3 4,-3 3,-3 2,-3 1,-3
38 0 8,-2 7,-2 7,-3 6,-3 5,-3 4,-3 3,-3 2,-3
39 0 8,-2 7,-2 7,-3 6,-3 5,-3 4,-3 3,-3 2,-3
40 0 8,-3 8,-2 7,-2 7,-3 6,-3 5,-3 4,-3 3,-3
41 0 8,-2 7,-2 7,-3 6,-3 5,-3 4,-3 3,-3 2,-3
42 0 7,-2 7,-3 6,-3 5,-3 4,-3 3,-3 2,-3 2,-4
43 0 7,-3 6,-3 5,-3 4,-3 3,-3 2,-3 2,-4 2,-5
44 0 6,-3 5,-3 4,-3 3,-3 2,-3 2,-4 2,-5 1,-5
45 0 5,-3 4,-3 3,-3 2,-3 2,-4 2,-5 1,-5 1,-4
46 0 5,-4 5,-3 4,-3 3,-3 2,-3 2,-4 2,-5 1,-5
47 0 5,-4 5,-3 4,-3 3,-3 2,-3 2,-4 2,-5 1,-5
48 0 5,-3 4,-3 3,-3 2,-3 2,-4 2,-5 1,-5 1,-6
49 0 5,-2 5,-3 4,-3 3,-3 2,-3 2,-4 2,-5 1,-5
50 0 6,-2 5,-2 5,-3 4,-3 3,-3 2,-3 2,-4 2,-5
51 0 5,-2 5,-3 4,-3 3,-3 2,-3 2,-4 2,-5 1,-5
52 0 6,-2 5,-2 5,-3 4,-3 3,-3 2,-3 2,-4 2,-5
